family,tag,tag_url,row_text,size_gb,modality,is_cloud_tag,updated_relative,family_card_text,family_url,params_total_b_raw,quantisation,updated_date_approx,is_moe,params_active_b,params_total_b,exclusion_reasons,manual_rationale,eligible
phi4-reasoning,phi4-reasoning:14b,https://ollama.com/library/phi4-reasoning%3A14b,phi4-reasoning:14b latest 11GB · 32K context window · Text · 1 year ago,11.0,Text,False,1 year ago,phi4-reasoning Phi 4 reasoning and reasoning plus are 14-billion parameter open-weight reasoning models that rival much larger models on complex reasoning tasks. 14b 1.5M Pulls 9 Tags Updated 1 year ago,https://ollama.com/library/phi4-reasoning,14.0,,2025-05-02,False,,14.0,,,True
magistral,magistral:24b,https://ollama.com/library/magistral%3A24b,magistral:24b latest 14GB · 39K context window · Text · 10 months ago,14.0,Text,False,10 months ago,"magistral Magistral is a small, efficient reasoning model with 24B parameters. tools thinking 24b 1.4M Pulls 5 Tags Updated 10 months ago",https://ollama.com/library/magistral,24.0,,2025-07-06,False,,24.0,,,True
command-r,command-r:35b,https://ollama.com/library/command-r%3A35b,command-r:35b latest 19GB · 128K context window · Text · 1 year ago,19.0,Text,False,1 year ago,command-r Command R is a Large Language Model optimized for conversational interaction and long context tasks. tools 35b 1.4M Pulls 32 Tags Updated 1 year ago,https://ollama.com/library/command-r,35.0,Q4_0,2025-05-02,False,,35.0,,,True
hermes3,hermes3:70b,https://ollama.com/library/hermes3%3A70b,hermes3:70b 40GB · 128K context window · Text · 1 year ago,40.0,Text,False,1 year ago,hermes3 Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research tools 3b 8b 70b 405b 1.3M Pulls 65 Tags Updated 1 year ago,https://ollama.com/library/hermes3,70.0,Q4_0,2025-05-02,False,,70.0,,,True
hermes3,hermes3:8b,https://ollama.com/library/hermes3%3A8b,hermes3:8b latest 4.7GB · 128K context window · Text · 1 year ago,4.7,Text,False,1 year ago,hermes3 Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research tools 3b 8b 70b 405b 1.3M Pulls 65 Tags Updated 1 year ago,https://ollama.com/library/hermes3,8.0,Q4_0,2025-05-02,False,,8.0,,,True
glm-4.7-flash,glm-4.7-flash:bf16,https://ollama.com/library/glm-4.7-flash%3Abf16,glm-4.7-flash:bf16 60GB · 198K context window · Text · 3 months ago,60.0,Text,False,3 months ago,"glm-4.7-flash As the strongest model in the 30B class, GLM-4.7-Flash offers a new option for lightweight deployment that balances performance and efficiency. tools thinking 1.2M Pulls 4 Tags Updated 3 months ago",https://ollama.com/library/glm-4.7-flash,,,2026-02-01,False,,,,,True
glm-4.7-flash,glm-4.7-flash:q4_K_M,https://ollama.com/library/glm-4.7-flash%3Aq4_K_M,glm-4.7-flash:q4_K_M 19GB · 198K context window · Text · 3 months ago,19.0,Text,False,3 months ago,"glm-4.7-flash As the strongest model in the 30B class, GLM-4.7-Flash offers a new option for lightweight deployment that balances performance and efficiency. tools thinking 1.2M Pulls 4 Tags Updated 3 months ago",https://ollama.com/library/glm-4.7-flash,,,2026-02-01,False,,,,,True
glm-4.7-flash,glm-4.7-flash:q8_0,https://ollama.com/library/glm-4.7-flash%3Aq8_0,glm-4.7-flash:q8_0 32GB · 198K context window · Text · 3 months ago,32.0,Text,False,3 months ago,"glm-4.7-flash As the strongest model in the 30B class, GLM-4.7-Flash offers a new option for lightweight deployment that balances performance and efficiency. tools thinking 1.2M Pulls 4 Tags Updated 3 months ago",https://ollama.com/library/glm-4.7-flash,,Q8_0,2026-02-01,False,,,,,True
deepseek-v2,deepseek-v2:16b,https://ollama.com/library/deepseek-v2%3A16b,deepseek-v2:16b latest 8.9GB · 160K context window · Text · 1 year ago,8.9,Text,False,1 year ago,"deepseek-v2 A strong, economical, and efficient Mixture-of-Experts language model. 16b 236b 1.1M Pulls 34 Tags Updated 1 year ago",https://ollama.com/library/deepseek-v2,16.0,Q4_0,2025-05-02,False,,16.0,,,True
lfm2,lfm2:24b,https://ollama.com/library/lfm2%3A24b,lfm2:24b latest 14GB · 32K context window · Text · 2 months ago,14.0,Text,False,2 months ago,"lfm2 LFM2 is a family of hybrid models designed for on-device deployment. LFM2-24B-A2B is the largest model in the family, scaling the architecture to 24 billion parameters while keeping inference efficient. tools 24b 1.1M Pulls 6 Tags Updated 2 months ago",https://ollama.com/library/lfm2,24.0,,2026-03-03,False,,24.0,,,True
deepseek-llm,deepseek-llm:67b,https://ollama.com/library/deepseek-llm%3A67b,deepseek-llm:67b 38GB · 4K context window · Text · 2 years ago,38.0,Text,False,2 years ago,deepseek-llm An advanced language model crafted with 2 trillion bilingual tokens. 7b 67b 1.1M Pulls 64 Tags Updated 2 years ago,https://ollama.com/library/deepseek-llm,67.0,Q4_0,2024-05-02,False,,67.0,,,True
deepseek-llm,deepseek-llm:7b,https://ollama.com/library/deepseek-llm%3A7b,deepseek-llm:7b latest 4.0GB · 4K context window · Text · 2 years ago,4.0,Text,False,2 years ago,deepseek-llm An advanced language model crafted with 2 trillion bilingual tokens. 7b 67b 1.1M Pulls 64 Tags Updated 2 years ago,https://ollama.com/library/deepseek-llm,7.0,Q4_0,2024-05-02,False,,7.0,,,True
openchat,openchat:7b,https://ollama.com/library/openchat%3A7b,openchat:7b latest 4.1GB · 8K context window · Text · 2 years ago,4.1,Text,False,2 years ago,"openchat A family of open-source models trained on a wide variety of data, surpassing ChatGPT on various benchmarks. Updated to version 3.5-0106. 7b 1.1M Pulls 50 Tags Updated 2 years ago",https://ollama.com/library/openchat,7.0,Q4_0,2024-05-02,False,,7.0,,,True
falcon,falcon:40b,https://ollama.com/library/falcon%3A40b,falcon:40b 24GB · 2K context window · Text · 2 years ago,24.0,Text,False,2 years ago,"falcon A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots. 7b 40b 180b 1.1M Pulls 38 Tags Updated 2 years ago",https://ollama.com/library/falcon,40.0,Q4_0,2024-05-02,False,,40.0,,,True
falcon,falcon:7b,https://ollama.com/library/falcon%3A7b,falcon:7b latest 4.2GB · 2K context window · Text · 2 years ago,4.2,Text,False,2 years ago,"falcon A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots. 7b 40b 180b 1.1M Pulls 38 Tags Updated 2 years ago",https://ollama.com/library/falcon,7.0,Q4_0,2024-05-02,False,,7.0,,,True
ministral-3,ministral-3:14b,https://ollama.com/library/ministral-3%3A14b,"ministral-3:14b 9.1GB · 256K context window · Text, Image · 4 months ago",9.1,,False,4 months ago,"ministral-3 The Ministral 3 family is designed for edge deployment, capable of running on a wide range of hardware. vision tools cloud 3b 8b 14b 1M Pulls 16 Tags Updated 4 months ago",https://ollama.com/library/ministral-3,14.0,,2026-01-02,False,,14.0,,,True
ministral-3,ministral-3:8b,https://ollama.com/library/ministral-3%3A8b,"ministral-3:8b latest 6.0GB · 256K context window · Text, Image · 4 months ago",6.0,,False,4 months ago,"ministral-3 The Ministral 3 family is designed for edge deployment, capable of running on a wide range of hardware. vision tools cloud 3b 8b 14b 1M Pulls 16 Tags Updated 4 months ago",https://ollama.com/library/ministral-3,8.0,,2026-01-02,False,,8.0,,,True
granite3.3,granite3.3:8b,https://ollama.com/library/granite3.3%3A8b,granite3.3:8b latest 4.9GB · 128K context window · Text · 1 year ago,4.9,Text,False,1 year ago,granite3.3 IBM Granite 2B and 8B models are 128K context length language models that have been fine-tuned for improved reasoning and instruction-following capabilities. tools 2b 8b 1M Pulls 3 Tags Updated 1 year ago,https://ollama.com/library/granite3.3,8.0,,2025-05-02,False,,8.0,,,True
granite3-dense,granite3-dense:8b,https://ollama.com/library/granite3-dense%3A8b,granite3-dense:8b 4.9GB · 4K context window · Text · 1 year ago,4.9,Text,False,1 year ago,"granite3-dense The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing. tools 2b 8b 942.1K Pulls 33 Tags Updated 1 year ago",https://ollama.com/library/granite3-dense,8.0,,2025-05-02,False,,8.0,,,True
granite3.1-dense,granite3.1-dense:8b,https://ollama.com/library/granite3.1-dense%3A8b,granite3.1-dense:8b latest 5.0GB · 128K context window · Text · 1 year ago,5.0,Text,False,1 year ago,"granite3.1-dense The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing. tools 2b 8b 939.7K Pulls 33 Tags Updated 1 year ago",https://ollama.com/library/granite3.1-dense,8.0,,2025-05-02,False,,8.0,,,True
llama3-gradient,llama3-gradient:70b,https://ollama.com/library/llama3-gradient%3A70b,llama3-gradient:70b 40GB · 1M context window · Text · 1 year ago,40.0,Text,False,1 year ago,llama3-gradient This model extends LLama-3 8B's context length from 8k to over 1m tokens. 8b 70b 923.9K Pulls 35 Tags Updated 1 year ago,https://ollama.com/library/llama3-gradient,70.0,Q4_0,2025-05-02,False,,70.0,,,True
llama3-gradient,llama3-gradient:8b,https://ollama.com/library/llama3-gradient%3A8b,llama3-gradient:8b latest 4.7GB · 1M context window · Text · 2 years ago,4.7,Text,False,2 years ago,llama3-gradient This model extends LLama-3 8B's context length from 8k to over 1m tokens. 8b 70b 923.9K Pulls 35 Tags Updated 1 year ago,https://ollama.com/library/llama3-gradient,8.0,Q4_0,2024-05-02,False,,8.0,,,True
internlm2,internlm2:20b,https://ollama.com/library/internlm2%3A20b,internlm2:20b 11GB · 32K context window · Text · 1 year ago,11.0,Text,False,1 year ago,internlm2 InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability. 1m 1.8b 7b 20b 912.1K Pulls 65 Tags Updated 1 year ago,https://ollama.com/library/internlm2,20.0,Q4_0,2025-05-02,False,,20.0,,,True
internlm2,internlm2:7b,https://ollama.com/library/internlm2%3A7b,internlm2:7b latest 4.5GB · 32K context window · Text · 1 year ago,4.5,Text,False,1 year ago,internlm2 InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability. 1m 1.8b 7b 20b 912.1K Pulls 65 Tags Updated 1 year ago,https://ollama.com/library/internlm2,7.0,Q4_0,2025-05-02,False,,7.0,,,True
starling-lm,starling-lm:7b,https://ollama.com/library/starling-lm%3A7b,starling-lm:7b latest 4.1GB · 8K context window · Text · 2 years ago,4.1,Text,False,2 years ago,starling-lm Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness. 7b 900.9K Pulls 36 Tags Updated 2 years ago,https://ollama.com/library/starling-lm,7.0,Q4_0,2024-05-02,False,,7.0,,,True
solar,solar:10.7b,https://ollama.com/library/solar%3A10.7b,solar:10.7b latest 6.1GB · 4K context window · Text · 2 years ago,6.1,Text,False,2 years ago,"solar A compact, yet powerful 10.7B large language model designed for single-turn conversation. 10.7b 897.6K Pulls 32 Tags Updated 2 years ago",https://ollama.com/library/solar,10.7,Q4_0,2024-05-02,False,,10.7,,,True
granite3-moe,granite3-moe:1b,https://ollama.com/library/granite3-moe%3A1b,granite3-moe:1b latest 822MB · 4K context window · Text · 1 year ago,0.802734375,Text,False,1 year ago,granite3-moe The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage. tools 1b 3b 883.4K Pulls 33 Tags Updated 1 year ago,https://ollama.com/library/granite3-moe,1.0,,2025-05-02,True,,1.0,,,True
granite3-moe,granite3-moe:3b,https://ollama.com/library/granite3-moe%3A3b,granite3-moe:3b 2.1GB · 4K context window · Text · 1 year ago,2.1,Text,False,1 year ago,granite3-moe The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage. tools 1b 3b 883.4K Pulls 33 Tags Updated 1 year ago,https://ollama.com/library/granite3-moe,3.0,,2025-05-02,True,,3.0,,,True
yarn-llama2,yarn-llama2:13b,https://ollama.com/library/yarn-llama2%3A13b,yarn-llama2:13b 7.4GB · 64K context window · Text · 2 years ago,7.4,Text,False,2 years ago,yarn-llama2 An extension of Llama 2 that supports a context of up to 128k tokens. 7b 13b 882K Pulls 67 Tags Updated 2 years ago,https://ollama.com/library/yarn-llama2,13.0,Q4_0,2024-05-02,False,,13.0,,,True
yarn-llama2,yarn-llama2:7b,https://ollama.com/library/yarn-llama2%3A7b,yarn-llama2:7b latest 3.8GB · 64K context window · Text · 2 years ago,3.8,Text,False,2 years ago,yarn-llama2 An extension of Llama 2 that supports a context of up to 128k tokens. 7b 13b 882K Pulls 67 Tags Updated 2 years ago,https://ollama.com/library/yarn-llama2,7.0,Q4_0,2024-05-02,False,,7.0,,,True
llama-pro,llama-pro:8b-instruct-fp16,https://ollama.com/library/llama-pro%3A8b-instruct-fp16,llama-pro:8b-instruct-fp16 17GB · 4K context window · Text · 2 years ago,17.0,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,FP16,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q2_K,https://ollama.com/library/llama-pro%3A8b-instruct-q2_K,llama-pro:8b-instruct-q2_K 3.5GB · 4K context window · Text · 2 years ago,3.5,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q2_K,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q3_K_L,https://ollama.com/library/llama-pro%3A8b-instruct-q3_K_L,llama-pro:8b-instruct-q3_K_L 4.5GB · 4K context window · Text · 2 years ago,4.5,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q3_K_M,https://ollama.com/library/llama-pro%3A8b-instruct-q3_K_M,llama-pro:8b-instruct-q3_K_M 4.1GB · 4K context window · Text · 2 years ago,4.1,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q3_K_S,https://ollama.com/library/llama-pro%3A8b-instruct-q3_K_S,llama-pro:8b-instruct-q3_K_S 3.6GB · 4K context window · Text · 2 years ago,3.6,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q4_0,https://ollama.com/library/llama-pro%3A8b-instruct-q4_0,llama-pro:8b-instruct-q4_0 4.7GB · 4K context window · Text · 2 years ago,4.7,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q4_0,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q4_1,https://ollama.com/library/llama-pro%3A8b-instruct-q4_1,llama-pro:8b-instruct-q4_1 5.3GB · 4K context window · Text · 2 years ago,5.3,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q4_1,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q4_K_M,https://ollama.com/library/llama-pro%3A8b-instruct-q4_K_M,llama-pro:8b-instruct-q4_K_M 5.1GB · 4K context window · Text · 2 years ago,5.1,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q4_K_S,https://ollama.com/library/llama-pro%3A8b-instruct-q4_K_S,llama-pro:8b-instruct-q4_K_S 4.8GB · 4K context window · Text · 2 years ago,4.8,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q5_0,https://ollama.com/library/llama-pro%3A8b-instruct-q5_0,llama-pro:8b-instruct-q5_0 5.8GB · 4K context window · Text · 2 years ago,5.8,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q5_0,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q5_1,https://ollama.com/library/llama-pro%3A8b-instruct-q5_1,llama-pro:8b-instruct-q5_1 6.3GB · 4K context window · Text · 2 years ago,6.3,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q5_1,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q5_K_M,https://ollama.com/library/llama-pro%3A8b-instruct-q5_K_M,llama-pro:8b-instruct-q5_K_M 5.9GB · 4K context window · Text · 2 years ago,5.9,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q5_K_S,https://ollama.com/library/llama-pro%3A8b-instruct-q5_K_S,llama-pro:8b-instruct-q5_K_S 5.8GB · 4K context window · Text · 2 years ago,5.8,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q6_K,https://ollama.com/library/llama-pro%3A8b-instruct-q6_K,llama-pro:8b-instruct-q6_K 6.9GB · 4K context window · Text · 2 years ago,6.9,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q6_K,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:8b-instruct-q8_0,https://ollama.com/library/llama-pro%3A8b-instruct-q8_0,llama-pro:8b-instruct-q8_0 8.9GB · 4K context window · Text · 2 years ago,8.9,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,8.0,Q8_0,2024-05-02,False,,8.0,,,True
llama-pro,llama-pro:instruct,https://ollama.com/library/llama-pro%3Ainstruct,llama-pro:instruct latest 4.7GB · 4K context window · Text · 2 years ago,4.7,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,,Q4_0,2024-05-02,False,,,,,True
llama-pro,llama-pro:text,https://ollama.com/library/llama-pro%3Atext,llama-pro:text 4.7GB · 4K context window · Text · 2 years ago,4.7,Text,False,2 years ago,"llama-pro An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics. 844.3K Pulls 33 Tags Updated 2 years ago",https://ollama.com/library/llama-pro,,Q4_0,2024-05-02,False,,,,,True
yarn-mistral,yarn-mistral:7b,https://ollama.com/library/yarn-mistral%3A7b,yarn-mistral:7b latest 4.1GB · 32K context window · Text · 2 years ago,4.1,Text,False,2 years ago,yarn-mistral An extension of Mistral to support context windows of 64K or 128K. 7b 839.2K Pulls 33 Tags Updated 2 years ago,https://ollama.com/library/yarn-mistral,7.0,Q4_0,2024-05-02,False,,7.0,,,True
command-r-plus,command-r-plus:104b,https://ollama.com/library/command-r-plus%3A104b,command-r-plus:104b latest 59GB · 128K context window · Text · 1 year ago,59.0,Text,False,1 year ago,"command-r-plus Command R+ is a powerful, scalable large language model purpose-built to excel at real-world enterprise use cases. tools 104b 749.5K Pulls 21 Tags Updated 1 year ago",https://ollama.com/library/command-r-plus,104.0,Q4_0,2025-05-02,False,,104.0,,,True
qwen3.6,qwen3.6:27b,https://ollama.com/library/qwen3.6%3A27b,"qwen3.6:27b 17GB · 256K context window · Text, Image · 1 week ago",17.0,,False,1 week ago,qwen3.6 Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models. vision tools thinking 27b 35b 741.2K Pulls 22 Tags Updated 1 week ago,https://ollama.com/library/qwen3.6,27.0,,2026-04-25,False,,27.0,,,True
qwen3.6,qwen3.6:27b-mlx-bf16,https://ollama.com/library/qwen3.6%3A27b-mlx-bf16,qwen3.6:27b-mlx-bf16 MLX 55GB · 256K context window · Text · 1 week ago,55.0,Text,False,1 week ago,qwen3.6 Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models. vision tools thinking 27b 35b 741.2K Pulls 22 Tags Updated 1 week ago,https://ollama.com/library/qwen3.6,27.0,,2026-04-25,False,,27.0,,,True
qwen3.6,qwen3.6:35b,https://ollama.com/library/qwen3.6%3A35b,"qwen3.6:35b latest 24GB · 256K context window · Text, Image · 2 weeks ago",24.0,,False,2 weeks ago,qwen3.6 Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models. vision tools thinking 27b 35b 741.2K Pulls 22 Tags Updated 1 week ago,https://ollama.com/library/qwen3.6,35.0,,2026-04-18,False,,35.0,,,True
qwen3.6,qwen3.6:35b-a3b-mlx-bf16,https://ollama.com/library/qwen3.6%3A35b-a3b-mlx-bf16,qwen3.6:35b-a3b-mlx-bf16 MLX 70GB · 256K context window · Text · 2 weeks ago,70.0,Text,False,2 weeks ago,qwen3.6 Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models. vision tools thinking 27b 35b 741.2K Pulls 22 Tags Updated 1 week ago,https://ollama.com/library/qwen3.6,35.0,,2026-04-18,True,3.0,35.0,,,True
mistral-small3.1,mistral-small3.1:24b,https://ollama.com/library/mistral-small3.1%3A24b,"mistral-small3.1:24b latest 15GB · 128K context window · Text, Image · 1 year ago",15.0,,False,1 year ago,"mistral-small3.1 Building upon Mistral Small 3, Mistral Small 3.1 (2503) adds state-of-the-art vision understanding and enhances long context capabilities up to 128k tokens without compromising text performance. vision tools 24b 733.1K Pulls 5 Tags Updated 1 year ago",https://ollama.com/library/mistral-small3.1,24.0,,2025-05-02,False,,24.0,,,True
reflection,reflection:70b,https://ollama.com/library/reflection%3A70b,reflection:70b latest 40GB · 128K context window · Text · 1 year ago,40.0,Text,False,1 year ago,reflection A high-performing model trained with a new technique called Reflection-tuning that teaches a LLM to detect mistakes in its reasoning and correct course. 70b 578.6K Pulls 17 Tags Updated 1 year ago,https://ollama.com/library/reflection,70.0,Q4_0,2025-05-02,False,,70.0,,,True
nemotron,nemotron:70b,https://ollama.com/library/nemotron%3A70b,nemotron:70b latest 43GB · 128K context window · Text · 1 year ago,43.0,Text,False,1 year ago,nemotron Llama-3.1-Nemotron-70B-Instruct is a large language model customized by NVIDIA to improve the helpfulness of LLM generated responses to user queries. tools 70b 568.3K Pulls 17 Tags Updated 1 year ago,https://ollama.com/library/nemotron,70.0,,2025-05-02,False,,70.0,,,True
megadolphin,megadolphin:120b,https://ollama.com/library/megadolphin%3A120b,megadolphin:120b latest 68GB · 4K context window · Text · 2 years ago,68.0,Text,False,2 years ago,megadolphin MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself. 120b 533.5K Pulls 19 Tags Updated 2 years ago,https://ollama.com/library/megadolphin,120.0,Q4_0,2024-05-02,False,,120.0,,,True
qwen3-next,qwen3-next:80b,https://ollama.com/library/qwen3-next%3A80b,qwen3-next:80b latest 50GB · 256K context window · Text · 4 months ago,50.0,Text,False,4 months ago,qwen3-next The first installment in the Qwen3-Next series with strong performance in terms of both parameter efficiency and inference speed. tools thinking cloud 80b 532.7K Pulls 10 Tags Updated 4 months ago,https://ollama.com/library/qwen3-next,80.0,,2026-01-02,False,,80.0,,,True
solar-pro,solar-pro:22b,https://ollama.com/library/solar-pro%3A22b,solar-pro:22b latest 13GB · 4K context window · Text · 1 year ago,13.0,Text,False,1 year ago,solar-pro Solar Pro Preview: an advanced large language model (LLM) with 22 billion parameters designed to fit into a single GPU 22b 523.5K Pulls 18 Tags Updated 1 year ago,https://ollama.com/library/solar-pro,22.0,,2025-05-02,False,,22.0,,,True
notux,notux:8x7b,https://ollama.com/library/notux%3A8x7b,notux:8x7b latest 26GB · 32K context window · Text · 2 years ago,26.0,Text,False,2 years ago,"notux A top-performing mixture of experts model, fine-tuned with high-quality data. 8x7b 505.2K Pulls 18 Tags Updated 2 years ago",https://ollama.com/library/notux,56.0,Q4_0,2024-05-02,True,,56.0,,,True
falcon2,falcon2:11b,https://ollama.com/library/falcon2%3A11b,falcon2:11b latest 6.4GB · 2K context window · Text · 1 year ago,6.4,Text,False,1 year ago,falcon2 Falcon2 is an 11B parameters causal decoder-only model built by TII and trained over 5T tokens. 11b 503.3K Pulls 17 Tags Updated 1 year ago,https://ollama.com/library/falcon2,11.0,Q4_0,2025-05-02,False,,11.0,,,True
mistrallite,mistrallite:7b,https://ollama.com/library/mistrallite%3A7b,mistrallite:7b latest 4.1GB · 32K context window · Text · 2 years ago,4.1,Text,False,2 years ago,mistrallite MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts. 7b 491.6K Pulls 17 Tags Updated 2 years ago,https://ollama.com/library/mistrallite,7.0,Q4_0,2024-05-02,False,,7.0,,,True
goliath,goliath:120b-q2_K,https://ollama.com/library/goliath%3A120b-q2_K,goliath:120b-q2_K 50GB · 4K context window · Text · 2 years ago,50.0,Text,False,2 years ago,goliath A language model created by combining two fine-tuned Llama 2 70B models into one. 450.3K Pulls 16 Tags Updated 2 years ago,https://ollama.com/library/goliath,120.0,Q2_K,2024-05-02,False,,120.0,,,True
goliath,goliath:120b-q3_K_L,https://ollama.com/library/goliath%3A120b-q3_K_L,goliath:120b-q3_K_L 62GB · 4K context window · Text · 2 years ago,62.0,Text,False,2 years ago,goliath A language model created by combining two fine-tuned Llama 2 70B models into one. 450.3K Pulls 16 Tags Updated 2 years ago,https://ollama.com/library/goliath,120.0,,2024-05-02,False,,120.0,,,True
goliath,goliath:120b-q3_K_M,https://ollama.com/library/goliath%3A120b-q3_K_M,goliath:120b-q3_K_M 56GB · 4K context window · Text · 2 years ago,56.0,Text,False,2 years ago,goliath A language model created by combining two fine-tuned Llama 2 70B models into one. 450.3K Pulls 16 Tags Updated 2 years ago,https://ollama.com/library/goliath,120.0,,2024-05-02,False,,120.0,,,True
